Basketball Players New2 - Person → Positionnew,Basketball Players New2 - Person → Height Ft In,Player Eligibility 2024 - Name → Eligibility Year,Basketball Conferences Tiers - Conference → Conference Name,Basketball Conferences Tiers - Conference → Conf Tier,Overall Dataset - Person → Pts/100 Poss,Dataset for conditionals - Person → 3fg% Conditional,Overall Dataset - Person → Reb/100 Poss,Overall Dataset - Person → Blk/40,Dataset for conditionals - Person → Blk/40 Conditional,Dataset for conditionals - Person → A:to Conditional,Dataset for conditionals - Person → 3fg/fga,Tv Name,Name,Dataset for conditionals - Person → Rebs/100 Conditional,Dataset for conditionals - Person → 3fga/fga Conditional,Dataset for conditionals - Person → Ft% Conditional,Dataset for conditionals - Person → Pts/100 Conditional,Basketball Teams - Team → Team Name,Assists Turnover Ratio,Three Pointers Percentage,Free Throws Percentage
2 | 3,"6' 06""",1.0,SoCon,Other,19.922501493098846,1,9.707691636637255,0.5737680430012467,,0,0.6367924528301887,,Jake Davis,0,1,1,0,Mercer,0.85,0.4,0.840909
2 | 3,"6' 06""",1.0,SoCon,Other,,1,,1.15969107491988,,0,0.6367924528301887,,Jake Davis,0,1,1,0,Mercer,0.85,0.4,0.840909
2 | 3,"6' 05""",3.0,CUSA,Mid,25.612317730046676,1,7.09576084869367,0.3264049990399088,,0,0.4098360655737705,,Davon Barnes,0,1,1,0,Sam Houston,0.942308,0.368,0.840426
1 | 2,"6' 02""",2.0,MAC,Mid,20.373859324045707,0,5.888398648568123,0.0,,0,0.39766081871345027,,Paul McMillan IV,,0,1,0,Central Mich.,0.8125,0.25,0.791667
4 | 5,"6' 09""",3.0,WAC,Mid,12.419860226582513,,4.139953408860838,0.7244918465506467,0,,0.6585365853658537,,Nestor Dyachok,0,1,1,0,Southern Utah,2.0,0.222222,0.75
2 | 3,"6' 05""",3.0,Southland,Other,28.36812580790982,0,8.379507930951824,0.4399241663749707,,0,0.15034965034965034,,Jay Alvarez,0,0,0,0,Houston Christian,0.587302,0.162791,0.573643
3 | 4,"6' 08""",1.0,Big Ten,High,30.36053130929791,0,37.950664136622386,0.0,0,0,0.0,,Erick Reader,1,0,0,1,Minnesota,0.0,0.0,0.0
1 | 2,"6' 02""",2.0,ASUN,Low,35.08771929824561,1,5.398110661268555,0.0,,0,0.8571428571428571,,Zach Reed,,1,1,1,Bellarmine,1.0,0.5,1.0
4 | 5,"6' 11""",3.0,CUSA,Mid,29.644640228805834,,20.674360044296865,3.1575386249471578,1,,0.008849557522123894,,Daniel Batcho,0,0,0,0,Louisiana Tech,0.185185,0.0,0.649254
3 | 4,"6' 07""",,SEC,High,21.953170658365977,0,17.141516815436447,2.8148174981137744,1,1,0.16981132075471697,,Mouhamed  Dioubate,1,0,0,1,Alabama,1.5,0.111111,0.461538
